Season,Crop Name,N (kg/ha),P₂O₅ (kg/ha),K₂O (kg/ha),pH,Moisture (%),Temp (°C),Yield Success (0-1)
Kharif,Cotton,120.12,74.67,74.65,7.95,75.67,32.92,0.6188
Rabi,Wheat,123.44,58.07,44.19,7.05,76.5,20.11,0.7137
Kharif,Groundnut,24.31,41.19,29.89,6.43,71.95,29.58,0.7214
Kharif,Jowar,93.61,45.66,40.38,6.31,69.72,29.94,0.7295
Kharif,Cotton,134.96,69.27,67.55,5.94,77.55,29.43,0.8548
Kharif,Ragi,55.53,45.83,29.41,7.03,70.72,26.75,0.7816
Kharif,Ragi,55.65,41.13,25.61,6.68,68.83,27.51,0.8115
Kharif,Rice,137.85,57.86,43.58,6.35,82.26,33.85,0.7047
Annual,Sugarcane,276.86,87.11,153.49,6.52,84.07,31.53,0.7108
Kharif,Cotton,128.48,68.92,65.86,7.47,71.23,33.52,0.7651
Kharif,Jowar,86.48,41.04,48.1,6.4,62.52,27.53,0.7371
Kharif,Cotton,141.68,65.46,62.45,6.03,79.86,25.72,0.6659
Kharif,Cotton,149.39,68.43,62.99,6.41,70.86,28.43,0.7273
Annual,Sugarcane,284.73,82.06,152.75,6.85,78.06,28.69,0.7475
Kharif,Rice,143.31,40.3,51.46,6.99,86,31.27,0.7259
Kharif,Rice,122.61,45.78,50.46,6.67,92.56,26.26,0.7878
Kharif,Cotton,124.59,72.67,66.04,7.47,70.7,34.11,0.6852
Kharif,Groundnut,21.49,41.16,25.82,6.36,67.44,27.12,0.7123
Kharif,Cotton,139.56,67.84,73.67,6.06,79.16,31.4,0.746
Rabi,Wheat,148.74,56.07,44.47,6.09,74.47,22.32,0.7958
Rabi,Wheat,121.52,57.23,43.77,6.9,77.65,20.15,0.7152
Kharif,Groundnut,23.17,49.14,29.27,6.17,72.28,26.01,0.6807
Kharif,Jowar,95.7,43.44,43.26,6.45,67.26,29.06,0.7841
Kharif,Cotton,136.88,68.52,74.35,6.94,79.51,26.75,0.7697
Kharif,Groundnut,21.89,48.58,25.34,6.24,69.35,29.45,0.7713
Kharif,Groundnut,23.17,46.69,26.1,6.95,72.93,26.02,0.7654
Kharif,Rice,106.78,43.25,57.49,6.71,92.33,31.86,0.6848
Kharif,Rice,149.69,54.47,43.25,6.91,94.46,31.42,0.6499
Kharif,Groundnut,22.73,44.51,26.18,6.56,68.46,31.11,0.8749
Kharif,Ragi,53.64,47.21,29.05,5.89,66.86,27.74,0.8201
Kharif,Jowar,87.28,44.06,47.18,7.37,62.66,30.68,0.8534
Kharif,Cotton,124.06,70.83,60.09,6.72,71.83,27.67,0.7146
Kharif,Rice,142.79,42.54,55.99,6.38,85.72,33.69,0.7329
Kharif,Ragi,54.84,46.88,28.56,7.28,63.32,28.27,0.808
Kharif,Cotton,128.29,74.81,63.37,7.54,73.71,29.28,0.7536
Rabi,Wheat,136.7,53.7,48.66,6.44,72.65,21.41,0.8354
Kharif,Rice,121.23,53.43,41.79,6.48,87.37,27.17,0.8163
Kharif,Rice,102.79,59.9,49.86,6.27,86.33,29.59,0.8202
Kharif,Groundnut,20.99,43.63,25.16,6.19,70.03,26.67,0.7306
Kharif,Rice,106.84,40.97,47.97,5.79,88.67,33.07,0.732
Kharif,Ragi,58.99,41.95,28.8,7.26,69.8,28.57,0.7267
Annual,Sugarcane,258.72,98.29,161.37,6.67,83.07,28.67,0.6763
Rabi,Wheat,136.22,52.93,43.95,7.38,78.92,23.55,0.7649
Annual,Sugarcane,270.53,81.13,172.19,7.24,77.9,30.96,0.8185
Rabi,Wheat,145.7,59.67,40.28,6.17,78.57,23.13,0.6312
Kharif,Groundnut,23.73,48.77,26.41,6.53,65.31,29.11,0.7424
Kharif,Ragi,51.12,44.78,27.94,6.7,60.96,26.46,0.7635
Kharif,Cotton,133.19,74.24,73.54,7.16,73.01,33.08,0.7437
Kharif,Groundnut,23.72,48.31,26.13,6.67,71.11,28.87,0.8123
Kharif,Ragi,51.51,49.55,29.71,6.85,68.8,26.94,0.7046
Kharif,Rice,107.64,57.04,58.97,5.73,93,28.03,0.657
Rabi,Wheat,123.71,56.2,49.34,7.21,73.31,21.92,0.7655
Kharif,Rice,123.65,45.61,51.87,6.31,80.16,29.47,0.8463
Kharif,Groundnut,22.37,40.19,28.73,7.17,69.05,28.84,0.7927
Kharif,Jowar,83.37,46.55,42.77,7.87,56.38,29.77,0.7323
Rabi,Wheat,146.3,54.76,45.18,7.12,75.8,23.89,0.8061
Kharif,Ragi,59.63,47.84,27.21,5.6,70.77,29.89,0.6757
Kharif,Groundnut,20.75,40.93,29.78,6.39,71.1,31.7,0.7112
Annual,Sugarcane,280.99,76.7,184.38,6.79,83.3,29.92,0.7548
Kharif,Rice,112.85,44.65,53.59,6.15,85.68,28.21,0.8238
Kharif,Jowar,92.26,45.26,47.67,6.74,67.68,29.71,0.8461
Annual,Sugarcane,252.05,79.92,162.27,7.24,79.76,29.59,0.7797
Kharif,Cotton,127.41,61.05,72.39,6.28,74.02,29.49,0.76
Kharif,Cotton,147.45,62.75,73,6.41,76.91,31.11,0.7295
Annual,Sugarcane,271.65,86.63,172.74,6.85,80.81,31.07,0.8885
Kharif,Ragi,50.73,46.58,27.72,7.07,74.21,27.17,0.7385
Kharif,Jowar,92.07,43.48,43.69,7.92,56.65,31.19,0.7376
Kharif,Rice,147.46,46.46,43.72,5.5,91.97,25.59,0.6368
Rabi,Wheat,121.93,52.41,48.79,6.58,79.91,24.25,0.6615
Kharif,Jowar,95.3,40.37,40.11,7.17,57.69,27.39,0.6592
Annual,Sugarcane,275.37,93.62,162.51,6.63,75.97,28.14,0.7204
Rabi,Wheat,122.47,58.51,44.83,6.48,72.89,24.47,0.7691
Annual,Sugarcane,253.03,82.9,159.51,6.78,76.27,31.67,0.684
Kharif,Groundnut,21.43,47.47,25.59,6.44,66.22,33.27,0.7076
Kharif,Groundnut,22.58,40.26,29.43,6.31,68.24,26.4,0.7158
Kharif,Ragi,55.9,48.87,27.9,5.53,64.72,27.8,0.7871
Rabi,Wheat,125.32,52.46,46.55,7.2,73.1,24.06,0.7694
Kharif,Cotton,125.08,66.69,67.53,7.55,78.18,31.65,0.8058
Kharif,Ragi,54.49,47.95,26.24,7.47,69.62,28.13,0.7905
Kharif,Cotton,126.45,65.68,67.81,6.5,73.1,31.53,0.8414
Kharif,Jowar,99.1,45.52,49.67,6.45,59.7,31.38,0.6981
Kharif,Jowar,85.21,41.97,43.51,7.74,66.09,29.54,0.7819
Kharif,Ragi,52.93,47.47,25.95,5.61,65.67,29.86,0.7007
Kharif,Groundnut,23.92,44.94,29.86,7.21,70.56,26.18,0.7489
Kharif,Jowar,98.44,45.11,42.92,6.66,69.96,27.5,0.7153
Kharif,Cotton,136.61,64.21,63.65,6.38,74.02,28.47,0.8305
Kharif,Rice,112.7,49.51,49.56,6.55,82.99,32.61,0.8243
Annual,Sugarcane,280.34,84.63,171.49,7.29,75.75,30.22,0.8285
Kharif,Cotton,147.23,68.84,63.99,5.82,74.04,34.22,0.71
Kharif,Rice,132.12,43.11,56.05,5.54,90.95,29.3,0.7395
Kharif,Cotton,122.01,71.53,62.65,7.58,78.42,26.5,0.6623
Kharif,Ragi,56.82,49.96,27.66,6.15,73.45,29.12,0.7397
Kharif,Groundnut,24.57,48.38,26.41,7.15,73.49,29.78,0.7321
Kharif,Jowar,80.72,42.96,48.95,7.31,63.23,31.56,0.7202
Kharif,Groundnut,23.21,42.78,27.59,7.03,73.46,31.71,0.8191
Annual,Sugarcane,287.27,92.99,151.88,6.54,82.15,28.18,0.6587
Kharif,Rice,121.75,45.2,54.02,6.76,90.92,30.57,0.8115
Kharif,Ragi,56.25,46.54,27.23,5.5,67.18,29.09,0.8122
Kharif,Cotton,122.33,65.91,71.74,6.03,70.82,30.27,0.7248
Kharif,Rice,112.98,48.36,40.33,5.85,88.39,27.15,0.7638
Kharif,Cotton,126.44,63.43,70.82,7.37,73.98,29.28,0.8057
Annual,Sugarcane,279.38,96.03,168.64,7.45,83.89,28.84,0.7347
Annual,Sugarcane,289.62,98.58,172.83,6.63,84.62,30.02,0.7261
Kharif,Cotton,144.3,71.35,69.17,6.03,70.77,30.29,0.7458
Kharif,Cotton,126.9,66.54,69.02,6.66,78.09,27.14,0.8101
Kharif,Rice,129.27,49.4,59.19,5.8,93.24,29.56,0.7831
Kharif,Jowar,91.36,48.46,43.56,6.04,61.94,28.85,0.7991
Kharif,Cotton,148.01,70.73,65.95,6.26,77.51,30.89,0.7695
Kharif,Cotton,122.23,69.43,60.7,6.62,79.25,30.71,0.7282
Kharif,Ragi,50.43,49.28,27.71,6.47,61.61,26.63,0.7205
Rabi,Wheat,124.56,56.12,45.62,6.38,67.06,22.31,0.8051
Rabi,Wheat,144.76,56.41,44.51,6.12,65.04,22.62,0.7572
Kharif,Ragi,58.46,45.18,26.56,5.97,61.21,26.4,0.7273
Kharif,Groundnut,21.8,46.4,26.56,6.99,70.36,34.19,0.8195
Rabi,Wheat,131.75,54.65,47.45,6.56,76.67,23.14,0.8465
Kharif,Groundnut,20.37,45.72,25.88,6.25,74.88,25.59,0.6526
Kharif,Jowar,98.59,49.26,40.95,6.59,68.04,28.25,0.6525
Rabi,Wheat,134.6,55.93,45.67,7.49,79.94,21.29,0.7659
Kharif,Groundnut,21.39,47.14,27.02,6.83,71.98,28.32,0.8414
Rabi,Wheat,141.48,52.94,49.47,6.42,67.69,24,0.7151
Kharif,Jowar,91.55,40.83,47.97,7.33,65.99,29.96,0.7865
Kharif,Ragi,57.74,49.08,27.56,7.36,64.7,27.63,0.7661
Kharif,Ragi,54.73,45.03,26.2,7.17,74.56,29.72,0.7457
Kharif,Cotton,123.31,71.28,73.58,7.88,75.91,34.63,0.6589
Kharif,Jowar,89.98,42.61,45,7.06,58.8,27.43,0.8449
Kharif,Cotton,130.08,74.88,74.31,7.81,75.42,25.97,0.6719
Kharif,Rice,131.38,53.36,57.21,6.19,88.18,30.23,0.8726
Kharif,Groundnut,24.82,41.25,27.89,7.43,74.48,32.96,0.6476
Rabi,Wheat,139.45,54.75,48.6,6.03,72.03,20.47,0.7582
Kharif,Rice,113.93,44.6,51.86,6.04,91.17,34.81,0.7583
Kharif,Jowar,81.28,45.31,45.22,7.07,63.26,30.11,0.8839
Kharif,Rice,147.51,46.22,54.7,5.54,89.94,31.87,0.7171
Kharif,Rice,132.43,54.92,54.47,5.77,93.56,32.85,0.7288
Kharif,Jowar,87.52,44.84,42.65,7.04,69.61,30.29,0.8288
Kharif,Jowar,90.1,45.38,42.24,7.92,69.6,28.74,0.7659
Kharif,Groundnut,23.1,47.38,25.19,6.63,72.83,28.6,0.7795
Annual,Sugarcane,277.59,96.34,158.33,7.22,79.06,31.36,0.7748
Kharif,Jowar,99.04,49.17,44.68,6.05,61.41,28.73,0.7329
Annual,Sugarcane,296.67,86.63,170.83,7.25,75.83,29.73,0.7961
Kharif,Groundnut,24.16,40.4,25.68,6.28,66.73,25.35,0.6231
Kharif,Jowar,96.56,41.02,45.18,6.12,65.99,28.24,0.7219
Kharif,Jowar,94.89,41.07,46.72,7.6,60.17,27.67,0.7282
Rabi,Wheat,121.48,55.71,46.37,7.25,72.65,23.43,0.802
Rabi,Wheat,137.33,55.13,47.97,6.75,76.24,20.24,0.8185
Kharif,Groundnut,24.46,41.79,29.62,6.67,70.84,28.61,0.7644
Kharif,Groundnut,22.62,46.68,27.15,7.31,70.86,25.29,0.8013
Kharif,Cotton,138.98,68.33,72.96,6.82,79.79,26.45,0.7629
Rabi,Wheat,147.01,54.77,44.41,7.12,65.03,23.48,0.7628
Kharif,Ragi,57.44,44.54,28.02,7.5,63.92,29.14,0.7637
Kharif,Rice,143.38,48.78,41.49,6.52,85.03,25.24,0.7209
Kharif,Cotton,129.9,62.21,61.1,6.08,72.96,32.25,0.7082
Annual,Sugarcane,292.06,84.36,155.07,7.14,77.14,30.62,0.7632
Kharif,Rice,124.09,53.72,54.28,6.61,82.87,34.46,0.7645
Annual,Sugarcane,276.21,85.86,161.8,7.21,76.39,30.06,0.8532
Kharif,Jowar,81.86,41.92,45.6,7.37,60.95,27,0.7394
Annual,Sugarcane,277.88,80.53,169.6,6.81,76.71,30.51,0.8345
Kharif,Rice,143.94,53.54,40.3,6.43,86.97,29.36,0.79
Rabi,Wheat,148.23,59.72,45.07,7.14,73.01,24.09,0.7447
Kharif,Ragi,53.29,44.4,26.81,6.29,74.2,27.4,0.8216
Kharif,Jowar,98.48,48.94,41.07,6.64,60.63,28.22,0.7047
Kharif,Ragi,55.06,43.99,25.69,7.19,72.44,27.18,0.7753
Kharif,Rice,113.93,54,42.2,6.55,89.55,29.01,0.7922
Kharif,Groundnut,20.51,41.54,25.1,7.12,71.08,31.64,0.7096
Kharif,Cotton,121.5,71.19,70.96,7.72,72.68,29.25,0.7323
Rabi,Wheat,134.89,57.27,41.56,7.27,76.92,24.49,0.731
Rabi,Wheat,135.38,57.84,47.01,6.35,72.61,24.15,0.8164
Kharif,Groundnut,22.32,45.4,26.11,6.79,70.81,29.38,0.9127
Kharif,Ragi,52.25,40.83,26.16,6.85,67.88,28.53,0.7845
Kharif,Ragi,53.82,46.66,29.5,6.06,63.09,29.33,0.7449
Kharif,Cotton,128.03,66,66.14,6.43,70.23,32.06,0.7801
Kharif,Ragi,54.97,47.1,29.43,5.75,64.39,28.05,0.801
Kharif,Cotton,137.64,60.55,64.48,7.97,79.62,31.22,0.6962
Kharif,Groundnut,23.29,46.53,28.33,6.39,65.39,27.26,0.758
Kharif,Rice,133.28,45,51.02,6.87,81.19,30.03,0.7827
Rabi,Wheat,126.88,51.96,46.68,6.38,70.95,20.83,0.7622
Annual,Sugarcane,261.22,89.24,179.42,6.72,77.65,31.28,0.7641
Kharif,Groundnut,22.6,47.2,29.26,7.43,72.27,26.53,0.7301
Rabi,Wheat,126.45,59.7,49.54,6.87,65.77,22.29,0.7034
Kharif,Groundnut,23.85,40.77,26.08,6.91,68.7,25.59,0.7242
Kharif,Jowar,94.4,47.66,43.03,6.57,55.05,31.25,0.7092
Kharif,Jowar,86.11,46.53,41.45,7.71,68.55,29.39,0.7529
Kharif,Groundnut,20.99,48.9,25.15,7.45,66.45,28.51,0.6446
Kharif,Ragi,58.65,44.89,29.3,7.11,74.55,26.83,0.6994
Kharif,Jowar,86.1,47.5,43.27,7.78,58.56,29.76,0.7796
Kharif,Groundnut,20.73,43,29.7,6.89,65.93,33.97,0.6848
Kharif,Groundnut,22.82,41.99,25.3,6.95,69.06,29.73,0.8234
Kharif,Jowar,96.98,40.1,43.9,7.8,56.57,31.16,0.6539
Kharif,Ragi,50.63,40.73,27.57,5.92,65.62,28.16,0.7778
Kharif,Cotton,134.61,69.15,61.58,7.21,76.09,28.64,0.8494
Kharif,Cotton,138.55,66.86,66.95,6.84,71.29,28.09,0.8688
Kharif,Cotton,136.28,71.49,63.31,7.18,72.16,31.22,0.8131
Kharif,Rice,105.06,45.65,53.13,5.95,81.95,30.69,0.7647
Kharif,Groundnut,20.55,47.02,29.07,6.71,73.94,27.07,0.7301
Kharif,Jowar,83.21,49.51,43.51,7.41,62.87,28.64,0.7765
Kharif,Cotton,135.84,61.08,73.61,6.85,77.8,32.4,0.7657
Kharif,Rice,135.18,43.51,49.16,5.72,84.74,27.47,0.7733
Kharif,Jowar,91.46,41.4,48.16,7.58,69.75,29.61,0.7426
Kharif,Cotton,136.69,70.16,71.6,7.35,78.23,29.55,0.8201
Kharif,Ragi,58.33,42.46,27.94,5.67,60.86,26.25,0.6716
Kharif,Rice,130.7,54.73,43.14,5.73,86.5,27.75,0.778
Kharif,Groundnut,20.12,43.32,28.57,7.48,66.69,28.32,0.6927
Annual,Sugarcane,299.68,93.6,184.96,7.24,75.94,28.16,0.6304
Rabi,Wheat,124.97,56.71,44.77,7.39,66.94,22.8,0.7691
Kharif,Jowar,84.17,44.58,45.43,6.34,69.05,27.9,0.7561
Kharif,Groundnut,21.11,40.38,28.31,7.06,74.25,30.76,0.7317
Rabi,Wheat,138.27,51.45,45.28,6.05,66.02,21.02,0.7189
Kharif,Cotton,122.09,71.86,74.11,7.22,76.14,30.26,0.7588
Annual,Sugarcane,252.81,83.79,168.84,6.56,78.82,29.88,0.7985
Kharif,Jowar,95.87,47.04,46.4,7.93,61.64,29.03,0.791
Kharif,Rice,104.4,58.82,44.63,5.62,85.84,34.43,0.6508
Annual,Sugarcane,263.01,92.37,160.3,7.37,76.35,28.55,0.7042
Kharif,Cotton,141.94,70.28,70.98,6.27,73.55,34.54,0.7443
Kharif,Groundnut,21.83,46.49,27.89,6.08,70.76,30.99,0.8362
Kharif,Jowar,87.92,46.12,44.95,7.57,57.85,27.96,0.8127
Annual,Sugarcane,269.21,96.17,176.71,7.28,75.41,31.9,0.6926
Kharif,Cotton,124.75,61.84,70.89,7.24,73.98,29.4,0.7897
Kharif,Groundnut,20.85,44.61,26.78,6.99,68.73,27.06,0.8177
Annual,Sugarcane,285.83,99.74,189.77,7.49,76.82,28.14,0.5878
Rabi,Wheat,131.73,57.13,49.07,6.71,78.07,22.58,0.8095
Kharif,Cotton,136.91,66.44,71.09,6.48,75.62,30.19,0.8924
Annual,Sugarcane,250.01,89.32,161.19,6.63,75.33,30.86,0.6925
Kharif,Cotton,137.04,64.47,67.44,6.82,78.2,27.46,0.8526
Kharif,Groundnut,23.29,45.61,27.26,6.53,70.82,28.54,0.8931
Kharif,Ragi,58.74,42.46,29.93,6.48,62.52,27.88,0.7523
Kharif,Jowar,80.19,47.97,47.26,7.68,55.07,30.69,0.6522
Annual,Sugarcane,294.42,75.94,183.14,7.5,76.68,29.61,0.6485
Rabi,Wheat,124.06,56.85,43.32,6.07,77.15,23.47,0.7208
Kharif,Rice,120.78,42.26,54.7,6.14,86.01,34.06,0.7858
Kharif,Cotton,140.38,65.87,74.07,6.52,79.47,28.83,0.7562
Kharif,Rice,120.73,53.63,53.94,6,84.95,26.35,0.8057
Kharif,Jowar,92.69,46.82,48.27,7.78,58.87,30.19,0.7644
Annual,Sugarcane,270.17,76.24,187.83,6.6,82.98,28.3,0.6474
Kharif,Rice,104.89,44.13,59.96,5.87,88.8,32.85,0.6969
Kharif,Cotton,132.48,66.28,73.34,5.82,73.51,28.32,0.7729
Kharif,Cotton,135.67,61.3,68.21,7.34,76.91,25.24,0.775
Kharif,Ragi,52.28,42.55,27.71,6.1,64.24,28.62,0.8114
Kharif,Ragi,58.19,46.42,27.81,6.54,60.68,27.97,0.8325
Kharif,Ragi,55.75,44.4,25.41,6.43,71.22,27.14,0.8248
Rabi,Wheat,120.24,54.82,46.38,6.77,74.53,20.11,0.7876
Kharif,Jowar,85.86,42.6,49.25,7.32,69.27,28.31,0.7131
Kharif,Cotton,143.81,65.03,72.63,5.92,71.05,34.72,0.6479
Rabi,Wheat,145.53,54.4,45.14,7.03,68.85,20.39,0.7872
Annual,Sugarcane,271.66,95.42,183.64,6.95,78.84,31.64,0.7832
Kharif,Cotton,143.87,71.65,71.93,5.88,70.05,34.84,0.6149
Kharif,Ragi,52.81,46.11,28.4,6.8,67.54,28.27,0.8783
Annual,Sugarcane,299.47,89.06,168.73,7.01,76.27,31.31,0.7843
Kharif,Groundnut,21.5,46.1,25.99,6.55,73.38,29.64,0.8134
Kharif,Cotton,127.59,65.95,61.7,7.24,77.86,25.85,0.7346
Rabi,Wheat,131.46,53.33,47.94,6.88,74.37,23.8,0.8249
Kharif,Rice,128.68,50.68,47.32,5.93,84.67,28.64,0.8701
Kharif,Rice,116.91,40.06,51.25,6.77,85.35,26.05,0.7323
Kharif,Ragi,58.21,46.59,26.88,6.85,74.19,27.48,0.7742
Kharif,Cotton,143.59,63.98,62.73,6.09,75.82,29.53,0.7773
Kharif,Groundnut,21.42,42.04,25.26,6.11,67.51,32.9,0.6791
Kharif,Rice,127.81,51.95,49.49,6.39,93.96,31.74,0.8538
Kharif,Groundnut,22.73,47.84,27.59,7.37,72.24,34.14,0.7668
Kharif,Cotton,121.51,62.6,66.68,7.71,79.01,29.17,0.7195
Kharif,Ragi,59.1,46.78,29.19,6.11,68.37,26.35,0.7348
Annual,Sugarcane,273.47,88.75,173.8,7.13,79.66,31.48,0.8817
Kharif,Rice,144.69,51.82,50.37,6,90.63,33.66,0.7926
Kharif,Rice,118.07,49.13,56,6.74,85.09,25.27,0.7596
Kharif,Jowar,87.85,41.96,44.64,6.03,61.11,29.61,0.8255
Kharif,Jowar,81.56,46.17,41.78,7.55,59.69,30.69,0.7398
Kharif,Groundnut,23.83,41.48,27.88,7,66.05,26.24,0.7281
Kharif,Rice,105.81,52.24,56.95,6.08,90.46,33.97,0.7415
Annual,Sugarcane,255.62,88.94,189.4,7.18,80.56,29.65,0.791
Annual,Sugarcane,283.16,98.04,175.55,7.5,80.59,31.08,0.7412
Kharif,Ragi,53.92,47.4,26.1,7.04,65.27,29.74,0.7531
Annual,Sugarcane,260.85,97.54,168.01,7.15,77.05,28.75,0.7514
Kharif,Rice,122.61,56.42,52.81,5.91,87.71,28.22,0.8453
Annual,Sugarcane,260.88,96.63,184.85,6.52,78.7,30.06,0.726
Kharif,Jowar,85.99,47.42,41.54,7.38,62.72,30.17,0.8121
Kharif,Cotton,134.89,73.75,60.47,7.95,79.25,33.66,0.6405
Kharif,Rice,100.31,58.59,43.34,6.89,91.9,25.05,0.5881
Kharif,Rice,119.46,59.19,46.68,6.98,80.31,34.91,0.6345
Annual,Sugarcane,263.41,83.12,183.23,7.34,78.09,30.58,0.7644
Kharif,Rice,113.25,50.68,57.86,6.5,89.86,25.03,0.7528
Kharif,Groundnut,24.89,46.36,26.75,7.2,68.89,33.7,0.7425
Kharif,Rice,103.37,52.53,40.62,6.84,87.64,29.49,0.753
Kharif,Groundnut,22.03,42.61,29.88,6.98,65.16,28.07,0.7268
Kharif,Ragi,57.92,47.31,25.47,6.17,60.76,28.22,0.7336
Annual,Sugarcane,262.63,76.42,162.73,7.44,82.48,28.08,0.6599
Annual,Sugarcane,250.64,89.76,162.47,7.23,75.74,30,0.763
Kharif,Groundnut,20.67,40.47,25.7,7.22,74.98,33.28,0.6136
Kharif,Jowar,97.48,40.59,40.96,6.45,60.49,30.18,0.706
Kharif,Groundnut,22.3,47.07,29.66,6.29,67.93,28.95,0.7837
Kharif,Ragi,57.56,46.1,27.65,5.77,68,26.19,0.7922
Rabi,Wheat,124.01,56.58,40.68,6.35,75.07,23.78,0.7249
Kharif,Cotton,148.01,69.84,67.77,7.12,71.15,29.51,0.8097
Kharif,Rice,130.55,40.98,50.61,5.97,92.15,31.04,0.8011
Kharif,Cotton,148.28,62.5,70.97,6.19,72.92,33.94,0.678
Kharif,Groundnut,23.54,46.19,29.46,7.27,73.15,32.34,0.7309
Annual,Sugarcane,267.61,76.35,151.66,7.03,83.53,29.55,0.742
Kharif,Jowar,88.29,48.4,40.58,7.52,64.47,28.14,0.7449
Kharif,Cotton,136.08,71.62,60.41,5.92,77.57,29.54,0.7447
Kharif,Cotton,135.02,67.47,65.51,7.51,70.52,34.66,0.7789
Kharif,Ragi,51.36,46.41,27.69,7.42,61.17,28.06,0.76
Annual,Sugarcane,272.31,81.6,150.4,7.34,76.75,29.46,0.7367
Rabi,Wheat,145.52,59.32,48.87,7.34,77.66,20.37,0.6112
Kharif,Jowar,85.5,46.5,48.87,6.97,69,27.37,0.7273
Rabi,Wheat,136.19,53.01,42.96,6.83,75.67,22.37,0.8778
Kharif,Groundnut,23.3,43.57,25.99,6.35,67.81,32.19,0.7817
Rabi,Wheat,121.85,54.78,46.56,6.57,69.82,20.96,0.7962
Kharif,Jowar,90.9,45.52,44.31,6.03,65.22,27.05,0.7796
Kharif,Rice,117.05,56.37,43.92,5.53,90.74,33.03,0.7032
Kharif,Groundnut,21.47,44.14,25.38,6.97,71.49,30.29,0.8266
Kharif,Ragi,57.71,44.4,29.05,6.69,69.09,29.41,0.8009
Kharif,Jowar,83.07,44.76,43.69,6.11,61.66,30.06,0.8142
Kharif,Ragi,53.53,40.29,26.4,7.42,65.71,28.97,0.7234
Kharif,Jowar,88.58,44.07,42.99,6.89,58.22,29.95,0.8674
Kharif,Jowar,83.94,40.62,40.46,6.45,60.29,29,0.7138
Kharif,Cotton,142.37,72.4,69.64,7.39,71.66,27.04,0.7387
Annual,Sugarcane,271.64,93.64,171.9,6.73,84.08,29.82,0.8195
Kharif,Jowar,87.55,45.94,40.81,7.44,64.6,30.49,0.8011
Kharif,Groundnut,24.41,46.57,28.63,7.23,71.49,29.11,0.7795
Annual,Sugarcane,269.94,88.9,186.26,6.58,81.83,31.4,0.7472
Kharif,Cotton,137.06,60.47,67.54,7.16,74.62,28.47,0.8585
Rabi,Wheat,138.83,55.54,45.9,7.39,73.38,24,0.8238
Kharif,Ragi,55.79,42.42,25.38,5.54,73.94,29.97,0.6395
Kharif,Jowar,93.14,42.37,40.64,7.66,64.71,28.42,0.7418
Kharif,Ragi,53.38,47.27,26.68,7.41,65.08,28.05,0.803
Rabi,Wheat,127.06,55.32,40.37,6.52,75.96,20.84,0.7541
Kharif,Cotton,145.02,74.06,63.45,7.27,76.92,26.28,0.7044
Kharif,Cotton,133.38,69.8,63.81,7.74,73.51,34.49,0.7611
Kharif,Groundnut,20.25,40.96,26.31,7.32,68.87,32.2,0.6992
Rabi,Wheat,120.96,55.75,47,7.12,78.92,21.39,0.7267
Annual,Sugarcane,286.62,87.68,152.71,7.38,84.58,28.29,0.6771
Annual,Sugarcane,269.35,92.35,150.66,7.05,79.2,29.11,0.8095
Kharif,Groundnut,23.81,48.49,27.93,6.02,72.23,27.55,0.7247
Kharif,Rice,121.44,48.59,48.15,6.41,83.62,30.25,0.8959
Kharif,Ragi,57.11,49.71,29.11,6.62,72.14,27.73,0.7599
Kharif,Rice,101.92,57.9,48.56,6.89,80.02,28.91,0.6728
Rabi,Wheat,141.01,54.17,45.49,6.12,73.57,24.3,0.8027
Rabi,Wheat,127.61,55.65,44.29,6.57,66.4,21.76,0.8238
Kharif,Rice,127.41,54.29,52.58,6.83,84.8,30.14,0.8379
Kharif,Jowar,89.88,48.06,45.43,6.68,69.29,28.57,0.8077
Rabi,Wheat,127.93,55.8,48.71,7.42,74.3,20.7,0.7311
Kharif,Groundnut,20.09,46.63,25.85,6.05,67.82,26.7,0.6684
Kharif,Rice,108.38,53.65,41.39,6.32,84.16,34.72,0.7189
Kharif,Cotton,127.4,68.73,67.01,6,78.91,31.57,0.7792
Rabi,Wheat,135.96,51.04,47.02,6.96,70.12,21.17,0.8009
Rabi,Wheat,145.41,55.76,47.9,6.59,78.33,22.57,0.7963
Kharif,Ragi,55.98,49.74,28.77,7.39,63.71,28.66,0.7186
Kharif,Groundnut,24.12,41.24,26.51,7.17,67.77,26.51,0.7083
Kharif,Rice,146.11,41.74,48.99,5.79,87.78,25.86,0.7292
Rabi,Wheat,139.55,52.35,43.61,7.46,75.54,22.25,0.7864
Annual,Sugarcane,257.63,77.11,180.28,7.41,83.97,31.02,0.653
Kharif,Groundnut,23.77,42.1,28.96,6.79,70.28,25.22,0.7719
Kharif,Ragi,56.5,40.5,25.47,7.13,64.01,28.83,0.7065
Kharif,Rice,111.14,48.87,50.11,6.17,80.04,32.52,0.8097
Kharif,Jowar,96.05,45.99,45.17,6.26,58.74,31.55,0.7585
Rabi,Wheat,138.18,52.49,44.72,6.14,65.5,20.13,0.7113
Kharif,Jowar,80.12,41,47.35,7.35,61.14,27.11,0.6879
Kharif,Jowar,94.25,46.84,48.67,7.58,60.67,27.85,0.7491
Kharif,Rice,110.44,58.54,43.5,5.67,82.33,34.99,0.6211
Kharif,Groundnut,23.13,42.07,29.16,7.49,65.72,34.95,0.6388
Kharif,Groundnut,21.69,41.14,26.26,7.28,68.18,30.72,0.7661
